quarter,property_type,index
2011-Q1,office,168
2011-Q1,retail,115.7
2011-Q2,office,170.6
2011-Q2,retail,117.2
2011-Q3,office,172.2
2011-Q3,retail,117.9
2011-Q4,office,172.8
2011-Q4,retail,118.9
2012-Q1,office,172
2012-Q1,retail,118.6
2012-Q2,office,171.1
2012-Q2,retail,118.5
2012-Q3,office,171
2012-Q3,retail,118.2
2012-Q4,office,170.5
2012-Q4,retail,118.3
2013-Q1,office,170.2
2013-Q1,retail,117
2013-Q2,office,170.5
2013-Q2,retail,115.6
2013-Q3,office,171.9
2013-Q3,retail,117.1
2013-Q4,office,172.8
2013-Q4,retail,117.3
2014-Q1,office,176.9
2014-Q1,retail,117
2014-Q2,office,181.8
2014-Q2,retail,117.7
2014-Q3,office,186.6
2014-Q3,retail,117.8
2014-Q4,office,189.8
2014-Q4,retail,118.4
2015-Q1,office,190.9
2015-Q1,retail,118
2015-Q2,office,186
2015-Q2,retail,117.4
2015-Q3,office,180.6
2015-Q3,retail,115
2015-Q4,office,177.4
2015-Q4,retail,113.5
2016-Q1,office,173.7
2016-Q1,retail,111.3
2016-Q2,office,167.6
2016-Q2,retail,107
2016-Q3,office,165.7
2016-Q3,retail,105.4
2016-Q4,office,162.8
2016-Q4,retail,104.1
2017-Q1,office,157.3
2017-Q1,retail,101.1
2017-Q2,office,155.6
2017-Q2,retail,99.9
